Time (Image Index),Neck Radius (pixels)
0,0
1,34
2,47
3,54
4,61
5,66
6,77
7,80
8,83
9,88
10,90
11,92
12,93
13,95
14,97
15,100
16,100
17,101
18,101
19,103
20,103
21,105
22,105
23,105
24,104
25,105
26,105
27,105
28,106
29,105
30,106
31,106
32,107
33,106
34,106
35,108
36,107
37,106
38,107
39,107
40,108
41,108
42,106
43,107
44,107
45,106
46,107
47,108
48,107
49,107
50,107
51,108
52,107
53,107
54,107
55,108
56,107
57,107
58,108
59,108
60,108
61,108
62,107
63,107
64,108
65,107
66,107
67,107
68,106
69,106
70,107
71,106
72,107
73,106
74,108
75,107
76,107
77,107
78,108
79,106
80,107
81,107
82,107
83,107
84,107
85,107
86,106
87,106
88,106
89,107
90,107
91,106
92,107
93,107
94,108
95,107
96,107
97,107
98,107
99,108
100,108
101,107
102,107
103,107
104,107
105,108
106,108
107,109
108,106
109,106
110,107
111,107
